backend,size,op,field,method,median_ms,p95_ms,cleanup_ms,seed_ms_dense,seed_ms_sparse
sqlite,100000,sort,date,legacy,218.5714164999979,222.8639580000049,448.36870800000383,3230.240500000008,10729.708166999984
sqlite,100000,sort,date,legacyJsonb,112.01787549998699,112.82891700000164,448.36870800000383,3230.240500000008,10729.708166999984
sqlite,100000,sort,date,v2,55.70583349998515,56.62183300000834,448.36870800000383,3230.240500000008,10729.708166999984
sqlite,100000,sort,date,indexed,0.004354000012085635,0.00775000000885484,448.36870800000383,3230.240500000008,10729.708166999984
sqlite,100000,sort,text_sparse,legacy,225.26902100000257,230.97404200001392,448.36870800000383,3230.240500000008,10729.708166999984
sqlite,100000,sort,text_sparse,legacyJsonb,122.0366040000016,125.133040999998,448.36870800000383,3230.240500000008,10729.708166999984
sqlite,100000,sort,text_sparse,v2,92.94035400000666,94.09420800000134,448.36870800000383,3230.240500000008,10729.708166999984
sqlite,100000,sort,number_sparse,legacy,230.53502100000856,233.72749999998632,448.36870800000383,3230.240500000008,10729.708166999984
sqlite,100000,sort,number_sparse,legacyJsonb,126.01375049997898,135.5229579999957,448.36870800000383,3230.240500000008,10729.708166999984
sqlite,100000,sort,number_sparse,v2,91.40164599999423,91.85695799999394,448.36870800000383,3230.240500000008,10729.708166999984
sqlite,100000,sort,option_sparse,legacy,231.23266650000573,234.1908749999959,448.36870800000383,3230.240500000008,10729.708166999984
sqlite,100000,sort,option_sparse,legacyJsonb,126.6846040000047,136.71633399999905,448.36870800000383,3230.240500000008,10729.708166999984
sqlite,100000,sort,option_sparse,v2,101.29441700000541,108.74491599997782,448.36870800000383,3230.240500000008,10729.708166999984
sqlite,100000,sort,date_sparse,legacy,229.10633299999006,231.94737500000429,448.36870800000383,3230.240500000008,10729.708166999984
sqlite,100000,sort,date_sparse,legacyJsonb,125.70529200000635,127.37362499998994,448.36870800000383,3230.240500000008,10729.708166999984
sqlite,100000,sort,date_sparse,v2,93.12183299999788,97.56320899998627,448.36870800000383,3230.240500000008,10729.708166999984
sqlite,300000,filter,text,legacy,0.9136454999918442,0.9412089999614182,5305.15991599998,7686.654457999993,41854.886541000014
sqlite,300000,filter,text,legacyJsonb,0.1880000000085147,0.21112500002118395,5305.15991599998,7686.654457999993,41854.886541000014
sqlite,300000,filter,text,v2,0.08372950000534729,0.09324999996351835,5305.15991599998,7686.654457999993,41854.886541000014
sqlite,300000,filter,number,legacy,0.28687500000046384,0.3171660000020893,5305.15991599998,7686.654457999993,41854.886541000014
sqlite,300000,filter,number,legacyJsonb,0.06641650000460686,0.0787089999789714,5305.15991599998,7686.654457999993,41854.886541000014
sqlite,300000,filter,number,v2,0.02420800001345924,0.03620899997258675,5305.15991599998,7686.654457999993,41854.886541000014
sqlite,300000,filter,option,legacy,0.3016665000075136,0.30670899997176093,5305.15991599998,7686.654457999993,41854.886541000014
sqlite,300000,filter,option,legacyJsonb,0.06522900002892129,0.08070799998449729,5305.15991599998,7686.654457999993,41854.886541000014
sqlite,300000,filter,option,v2,0.028520999990178098,0.034290999963104696,5305.15991599998,7686.654457999993,41854.886541000014
sqlite,300000,filter,date,legacy,5.538521000005403,6.311457999970571,5305.15991599998,7686.654457999993,41854.886541000014
sqlite,300000,filter,date,legacyJsonb,2.7683539999827644,3.7627499999643987,5305.15991599998,7686.654457999993,41854.886541000014
sqlite,300000,filter,date,v2,0.1906459999929666,0.19233300002952092,5305.15991599998,7686.654457999993,41854.886541000014
sqlite,300000,filter,date,indexed,0.004875500025036672,0.007583000012800767,5305.15991599998,7686.654457999993,41854.886541000014
sqlite,300000,filter,text_sparse,legacy,18.36464600000909,18.773499999952037,5305.15991599998,7686.654457999993,41854.886541000014
sqlite,300000,filter,text_sparse,legacyJsonb,9.749041499986788,9.93124999996553,5305.15991599998,7686.654457999993,41854.886541000014
sqlite,300000,filter,text_sparse,v2,2.88747850001414,3.2555829999978414,5305.15991599998,7686.654457999993,41854.886541000014
sqlite,300000,filter,number_sparse,legacy,1.1346880000075998,1.2873329999933958,5305.15991599998,7686.654457999993,41854.886541000014
sqlite,300000,filter,number_sparse,legacyJsonb,0.27424999998970634,0.2859159999957228,5305.15991599998,7686.654457999993,41854.886541000014
sqlite,300000,filter,number_sparse,v2,0.11379150001289418,0.13724999996611587,5305.15991599998,7686.654457999993,41854.886541000014
sqlite,300000,filter,option_sparse,legacy,0.7116670000186787,0.830041999961395,5305.15991599998,7686.654457999993,41854.886541000014
